owner	sequence	script_name	native_kind	android_arm64	android_armv7	ios_arm64	ios_armv7	registration_status	body_status	evidence_report	notes
Circle	3	contains	METHOD	registrar=0x68E6E0; callback=0x68E1D0	registrar=0x56E484; callback=0x56E1B0	registrar=0x1000F08BC; callback=0x1000F0670	registrar=0xECADA; callback=0xEC8D0	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_geometry_contains_boundary_four_binary_2026-08-26.md	
Circle	4	x	RO_PROPERTY	registrar=0x68E6E0; callback=0x68E630	registrar=0x56E484; callback=0x56E3FE	registrar=0x1000F08BC; callback=0x1000F08AC	registrar=0xECADA; callback=0xECAC2	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_geometry_scalar_getters_four_binary_2026-08-26.md	
Circle	5	y	RO_PROPERTY	registrar=0x68E6E0; callback=0x68E638	registrar=0x56E484; callback=0x56E408	registrar=0x1000F08BC; callback=0x1000F08B4	registrar=0xECADA; callback=0xECACC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_geometry_scalar_getters_four_binary_2026-08-26.md	
Circle	6	r	RO_PROPERTY	registrar=0x68E6E0; callback=0x68E9DC	registrar=0x56E484; callback=0x56E552	registrar=0x1000F08BC; callback=0x1000F09EC	registrar=0xECADA; callback=0xECBBA	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_geometry_scalar_getters_four_binary_2026-08-26.md	
D3DAdaptor	1	<factory>	FACTORY	wrapper=0x6FC6D8; setup=0x6FC848; registrar=0x6AA274; factory_publish=inline; callback=0x6AA8F8; native_ctor=0x6AAEF0	wrapper=0x599848; setup=0x5B74C8; registrar=0x57CC58; factory_publish=0x57CE94; callback=0x57CEBC; native_ctor=0x57D0AC	wrapper=0x100126244; setup=0x10014EDB4; registrar=0x1001039A4; factory_publish=0x100103BDC; callback=0x100103C30; native_ctor=0x100103FA8	wrapper=0x12526C; setup=0x150C70; registrar=0x100D94; factory_publish=0x100FAC; callback=0x100FD4; native_ctor=0x10128C	EVIDENCED_4_4	FACTORY_EVIDENCED_4_4	analysis/motionplayer_d3dadaptor_ncb_surface_four_binary_2026-08-27.md	argc>=5; argv[0] must be a Window instance; argv[1..4] convert to tjs_int; surplus arguments ignored
D3DAdaptor	2	setPos	METHOD	registrar=0x6AA274; callback=0x6AAB84	registrar=0x57CC58; callback=0x57CF64	registrar=0x1001039A4; callback=0x100103D3C	registrar=0x100D94; callback=0x101128	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	four-platform no-op callback
D3DAdaptor	3	setSize	METHOD	registrar=0x6AA274; callback=0x6AAB88	registrar=0x57CC58; callback=0x57CF66	registrar=0x1001039A4; callback=0x100103D40	registrar=0x100D94; callback=0x10112A	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
D3DAdaptor	4	setClearColor	METHOD	registrar=0x6AA274; callback=0x6AAB90	registrar=0x57CC58; callback=0x57CF6C	registrar=0x1001039A4; callback=0x100103D48	registrar=0x100D94; callback=0x101130	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
D3DAdaptor	5	setResizable	METHOD	registrar=0x6AA274; callback=0x6AAB98	registrar=0x57CC58; callback=0x57CF70	registrar=0x1001039A4; callback=0x100103D50	registrar=0x100D94; callback=0x101134	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
D3DAdaptor	6	removeAllTextures	METHOD	registrar=0x6AA274; callback=0x6AAC98	registrar=0x57CC58; callback=0x57CF74	registrar=0x1001039A4; callback=0x100103D58	registrar=0x100D94; callback=0x101138	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
D3DAdaptor	7	removeAllBg	METHOD	registrar=0x6AA274; callback=0x6AACD0	registrar=0x57CC58; callback=0x57CF7A	registrar=0x1001039A4; callback=0x100103D88	registrar=0x100D94; callback=0x101154	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	four-platform no-op callback
D3DAdaptor	8	removeAllCaption	METHOD	registrar=0x6AA274; callback=0x6AACD4	registrar=0x57CC58; callback=0x57CF7C	registrar=0x1001039A4; callback=0x100103D8C	registrar=0x100D94; callback=0x101156	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	four-platform no-op callback
D3DAdaptor	9	registerBg	METHOD	registrar=0x6AA274; callback=0x6AACD8	registrar=0x57CC58; callback=0x57CF7E	registrar=0x1001039A4; callback=0x100103D90	registrar=0x100D94; callback=0x101158	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	four-platform no-op callback
D3DAdaptor	10	registerCaption	METHOD	registrar=0x6AA274; callback=0x6AACDC	registrar=0x57CC58; callback=0x57CF80	registrar=0x1001039A4; callback=0x100103D94	registrar=0x100D94; callback=0x10115A	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	four-platform no-op callback
D3DAdaptor	11	unloadUnusedTextures	METHOD	registrar=0x6AA274; callback=0x6AACE0	registrar=0x57CC58; callback=0x57CF82	registrar=0x1001039A4; callback=0x100103D98	registrar=0x100D94; callback=0x10115C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	four-platform no-op callback
D3DAdaptor	12	visible	RW_PROPERTY	registrar=0x6AA274; callback=get=0x6AACE4,set=0x6AACEC	registrar=0x57CC58; callback=get=0x57CF84,set=0x57CF88	registrar=0x1001039A4; callback=get=0x100103D9C,set=0x100103DA4	registrar=0x100D94; callback=get=0x10115E,set=0x101162	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
D3DAdaptor	13	alphaOpAdd	RW_PROPERTY	registrar=0x6AA274; callback=get=0x6AACF8,set=0x6AAD00	registrar=0x57CC58; callback=get=0x57CF8C,set=0x57CF90	registrar=0x1001039A4; callback=get=0x100103DAC,set=0x100103DB4	registrar=0x100D94; callback=get=0x101166,set=0x10116A	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
D3DAdaptor	14	captureCanvas	METHOD	registrar=0x6AA274; callback=0x6AAD0C	registrar=0x57CC58; callback=0x57CF94	registrar=0x1001039A4; callback=0x100103DBC	registrar=0x100D94; callback=0x10116E	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_capture_canvas_four_binary_2026-08-27.md	
D3DAdaptor	15	canvasCaptureEnabled	RW_PROPERTY	registrar=0x6AA274; callback=get=0x6AAEC8,set=0x6AAED0	registrar=0x57CC58; callback=get=0x57D09C,set=0x57D0A0	registrar=0x1001039A4; callback=get=0x100103F88,set=0x100103F90	registrar=0x100D94; callback=get=0x10127C,set=0x101280	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
D3DAdaptor	16	clearEnabled	RW_PROPERTY	registrar=0x6AA274; callback=get=0x6AAEDC,set=0x6AAEE4	registrar=0x57CC58; callback=get=0x57D0A4,set=0x57D0A8	registrar=0x1001039A4; callback=get=0x100103F98,set=0x100103FA0	registrar=0x100D94; callback=get=0x101284,set=0x101288	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_d3dadaptor_simple_state_map_clear_four_binary_2026-08-27.md	
EmotePlayer	1	<factory>	TYPED_VARIANT_FACTORY	wrapper=0x682FA0; setup=0x683528; registrar=0x67CEA8; publisher=inline; invoke=0x689CA4; construct=0x689D7C; allocate_variant_ctor=0x689E94; native_ctor=0x67B76C	wrapper=0x564E2C; setup=0x56506C; registrar=0x5612E8; publisher=0x561C18; invoke=0x56A280; construct=0x56A310; variant_prepare=0x56A3F4; native_ctor=0x560948	wrapper=0x1001B8CD0; setup=0x1001B8FB8; registrar=0x1001B5130; publisher=0x1001B5B20; invoke=0x1001C5F18; construct=0x1001C5FBC; variant_prepare=0x1001C60E0; native_ctor=0x1001B7FB0	wrapper=0x1B82B8; setup=0x1B8660; registrar=0x1B4DE0; publisher=0x1B5712; invoke=0x1C3158; construct=0x1C31C8; allocate_variant_ctor=0x1C3310; native_ctor=0x1B7788	EVIDENCED_4_4	FACTORY_EVIDENCED_4_4	analysis/motionplayer_emoteplayer_ncb_surface_four_binary_2026-08-27.md	one Variant; zero ordinary args rejected; one Void is empty-adaptor sentinel; surplus args ignored; attach failure destroys and deletes native
EmotePlayer	2	TimelinePlayFlagParallel	STATIC_CONSTANT	registrar=0x67CEA8; value=1	registrar=0x5612E8; value=1	registrar=0x1001B5130; value=1	registrar=0x1B4DE0; value=1	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_emoteplayer_ncb_surface_four_binary_2026-08-27.md	TJS_STATICMEMBER integer
EmotePlayer	3	TimelinePlayFlagDifference	STATIC_CONSTANT	registrar=0x67CEA8; value=2	registrar=0x5612E8; value=2	registrar=0x1001B5130; value=2	registrar=0x1B4DE0; value=2	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	analysis/motionplayer_emoteplayer_ncb_surface_four_binary_2026-08-27.md	TJS_STATICMEMBER integer
EmotePlayer	4	progress	METHOD	registrar=0x67CEA8; callback=0x67EC94	registrar=0x5612E8; callback=0x561D08	registrar=0x1001B5130; callback=0x1001B5C68	registrar=0x1B4DE0; callback=0x1B586C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	Android armv7 callback was recovered as an independent 0x561D08..0x561D24 function
EmotePlayer	5	frameProgress	METHOD	registrar=0x67CEA8; callback=entry=0x67A3F8; containing_func=0x530E3C	registrar=0x5612E8; callback=0x55FEF0	registrar=0x1001B5130; callback=0x1001B4304	registrar=0x1B4DE0; callback=0x1B3E10	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	direct EmoteEngine progress binding; Android arm64 entry is a distant function chunk
EmotePlayer	6	draw	METHOD	registrar=0x67CEA8; callback=0x67ECB0	registrar=0x5612E8; callback=0x561D38	registrar=0x1001B5130; callback=0x1001B5C84	registrar=0x1B4DE0; callback=0x1B5898	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	7	initPhysics	METHOD	registrar=0x67CEA8; callback=0x67A8B0	registrar=0x5612E8; callback=0x560020	registrar=0x1001B5130; callback=0x1001B4468	registrar=0x1B4DE0; callback=0x1B3F58	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	direct EmoteEngine applyMetadata binding
EmotePlayer	8	startWind	METHOD	registrar=0x67CEA8; callback=0x66DD8C	registrar=0x5612E8; callback=0x559900	registrar=0x1001B5130; callback=0x1001AC718	registrar=0x1B4DE0; callback=0x1ABF24	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	direct EmoteEngine setWind binding
EmotePlayer	9	stopWind	METHOD	registrar=0x67CEA8; callback=0x67EE18	registrar=0x5612E8; callback=0x561D90	registrar=0x1001B5130; callback=0x1001B5CD8	registrar=0x1B4DE0; callback=0x1B5944	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	10	play	METHOD	registrar=0x67CEA8; callback=0x67C7EC	registrar=0x5612E8; callback=0x5610B0	registrar=0x1001B5130; callback=0x1001B5040	registrar=0x1B4DE0; callback=0x1B4CBC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	11	clear	METHOD	registrar=0x67CEA8; callback=0x67EE44	registrar=0x5612E8; callback=0x561DA8	registrar=0x1001B5130; callback=0x1001B5D04	registrar=0x1B4DE0; callback=0x1B595C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	12	getVariable	METHOD	registrar=0x67CEA8; callback=0x5341FC	registrar=0x5612E8; callback=0x4979BC	registrar=0x1001B5130; callback=0x1001B5D84	registrar=0x1B4DE0; callback=0x1B5A2C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	direct EmoteEngine binding
EmotePlayer	13	contains	METHOD	registrar=0x67CEA8; callback=0x67EEEC	registrar=0x5612E8; callback=0x497BFE	registrar=0x1001B5130; callback=0x1001B5E84	registrar=0x1B4DE0; callback=0x1B5B74	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	14	serialize	METHOD	registrar=0x67CEA8; callback=0x673220	registrar=0x5612E8; callback=0x55BB70	registrar=0x1001B5130; callback=0x1001AF774	registrar=0x1B4DE0; callback=0x1AEF30	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	direct EmoteEngine serializeState binding
EmotePlayer	15	unserialize	METHOD	registrar=0x67CEA8; callback=0x675424	registrar=0x5612E8; callback=0x55CF3C	registrar=0x1001B5130; callback=0x1001B1130	registrar=0x1B4DE0; callback=0x1B0B80	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	direct EmoteEngine unserializeState binding
EmotePlayer	16	pass	METHOD	registrar=0x67CEA8; callback=0x67F028	registrar=0x5612E8; callback=0x561E18	registrar=0x1001B5130; callback=0x1001B5ECC	registrar=0x1B4DE0; callback=0x1B5BAA	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	17	setVariable	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F1D0	registrar=0x5612E8; callback=0x55A368	registrar=0x1001B5130; callback=0x1001AD684	registrar=0x1B4DE0; callback=0x1ACD18	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	18	setCoord	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F440	registrar=0x5612E8; callback=0x55A450	registrar=0x1001B5130; callback=0x1001AD778	registrar=0x1B4DE0; callback=0x1ACE5C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	19	setScale	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F6FC	registrar=0x5612E8; callback=0x55A548	registrar=0x1001B5130; callback=0x1001AD894	registrar=0x1B4DE0; callback=0x1ACF52	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	20	setRotate	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F948	registrar=0x5612E8; callback=0x55A628	registrar=0x1001B5130; callback=0x1001AD970	registrar=0x1B4DE0; callback=0x1AD010	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	21	setColor	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66FB5C	registrar=0x5612E8; callback=0x55A6E8	registrar=0x1001B5130; callback=0x1001ADA3C	registrar=0x1B4DE0; callback=0x1AD0CC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	22	setOuterForce	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66FE58	registrar=0x5612E8; callback=0x55A828	registrar=0x1001B5130; callback=0x1001ADB98	registrar=0x1B4DE0; callback=0x1AD218	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	
EmotePlayer	23	completionType	RW_PROPERTY	registrar=0x67CEA8; get=0x67F02C; set=0x67F038	registrar=0x5612E8; get=0x561E50; set=0x561E5A	registrar=0x1001B5130; get=0x1001B5F24; set=0x1001B5F30	registrar=0x1B4DE0; get=0x1B5BD6; set=0x1B5BE0	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	24	chara	RW_PROPERTY	registrar=0x67CEA8; get=0x67F044; set=0x67C750	registrar=0x5612E8; get=0x561E64; set=0x561044	registrar=0x1001B5130; get=0x1001B5F3C; set=0x1001B4FD8	registrar=0x1B4DE0; get=0x1B5BEA; set=0x1B4BFC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	25	motion	RW_PROPERTY	registrar=0x67CEA8; get=0x67F068; set=0x67F08C	registrar=0x5612E8; get=0x561E88; set=0x561EAC	registrar=0x1001B5130; get=0x1001B5F60; set=0x1001B5F84	registrar=0x1B4DE0; get=0x1B5C0E; set=0x1B5C34	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	26	motionKey	RW_PROPERTY	registrar=0x67CEA8; get=0x67F128; set=entry=0x67C6C0; containing_func=0x67C4AC	registrar=0x5612E8; get=0x561F18; set=0x560FD4	registrar=0x1001B5130; get=0x1001B5FEC; set=0x1001B4F68	registrar=0x1B4DE0; get=0x1B5CF4; set=0x1B4B38	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	27	project	RW_PROPERTY	registrar=0x67CEA8; get=0x67F128; set=entry=0x67C6C0; containing_func=0x67C4AC	registrar=0x5612E8; get=0x561F18; set=0x560FD4	registrar=0x1001B5130; get=0x1001B5FEC; set=0x1001B4F68	registrar=0x1B4DE0; get=0x1B5CF4; set=0x1B4B38	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	exact callback alias with motionKey
EmotePlayer	28	maskMode	RW_PROPERTY	registrar=0x67CEA8; get=0x67F1A4; set=0x67F1B0	registrar=0x5612E8; get=0x561F74; set=0x561F7E	registrar=0x1001B5130; get=0x1001B6048; set=0x1001B6054	registrar=0x1B4DE0; get=0x1B5DA4; set=0x1B5DAE	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	29	meshDivisionRatio	RW_PROPERTY	registrar=0x67CEA8; get=0x67F1BC; set=0x67F1C8	registrar=0x5612E8; get=0x561F88; set=0x561F96	registrar=0x1001B5130; get=0x1001B6060; set=0x1001B606C	registrar=0x1B4DE0; get=0x1B5DB8; set=0x1B5DC6	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	30	outline	RW_PROPERTY	registrar=0x67CEA8; get=0x67F1D4; set=0x67F1E4	registrar=0x5612E8; get=0x561FA4; set=0x561FB8	registrar=0x1001B5130; get=0x1001B6078; set=0x1001B6088	registrar=0x1B4DE0; get=0x1B5DD4; set=0x1B5DE8	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	31	priorDraw	RW_PROPERTY	registrar=0x67CEA8; get=0x67F258; set=0x67F264	registrar=0x5612E8; get=0x562010; set=0x56201A	registrar=0x1001B5130; get=0x1001B60DC; set=0x1001B60E8	registrar=0x1B4DE0; get=0x1B5E94; set=0x1B5E9E	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	32	frameLastTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F274	registrar=0x5612E8; get=0x562024	registrar=0x1001B5130; get=0x1001B60F4	registrar=0x1B4DE0; get=0x1B5EA8	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	33	frameLoopTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F280	registrar=0x5612E8; get=0x562032	registrar=0x1001B5130; get=0x1001B6100	registrar=0x1B4DE0; get=0x1B5EB6	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	34	lastTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F274	registrar=0x5612E8; get=0x562024	registrar=0x1001B5130; get=0x1001B60F4	registrar=0x1B4DE0; get=0x1B5EA8	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	exact alias with frameLastTime
EmotePlayer	35	loopTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F280	registrar=0x5612E8; get=0x562032	registrar=0x1001B5130; get=0x1001B6100	registrar=0x1B4DE0; get=0x1B5EB6	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	exact alias with frameLoopTime
EmotePlayer	36	bounds	RO_PROPERTY	registrar=0x67CEA8; get=0x67F28C	registrar=0x5612E8; get=0x562040	registrar=0x1001B5130; get=0x1001B610C	registrar=0x1B4DE0; get=0x1B5EC4	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	37	processedMeshVerticesNum	RO_PROPERTY	registrar=0x67CEA8; get=0x67F294	registrar=0x5612E8; get=0x56204E	registrar=0x1001B5130; get=0x1001B6114	registrar=0x1B4DE0; get=0x1B5ED2	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
EmotePlayer	38	setDrawAffineTranslateMatrix	METHOD	registrar=0x67CEA8; callback=0x67F2C8	registrar=0x5612E8; callback=0x562068	registrar=0x1001B5130; callback=0x1001B6148	registrar=0x1B4DE0; callback=0x1B5EEC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_emoteplayer_player_facade_properties_methods_four_binary_2026-08-27.md	
