sequence	script_name	native_kind	android_arm64	android_armv7	ios_arm64	ios_armv7	registration_status	body_status	notes
12	getVariable	METHOD	registrar=0x67CEA8; callback=0x5341FC	registrar=0x5612E8; callback=0x4979BC	registrar=0x1001B5130; callback=0x1001B5D84	registrar=0x1B4DE0; callback=0x1B5A2C	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
13	contains	METHOD	registrar=0x67CEA8; callback=0x67EEEC	registrar=0x5612E8; callback=0x497BFE	registrar=0x1001B5130; callback=0x1001B5E84	registrar=0x1B4DE0; callback=0x1B5B74	EVIDENCED_4_4	IMPLEMENTED	
14	serialize	METHOD	registrar=0x67CEA8; callback=0x673220	registrar=0x5612E8; callback=0x55BB70	registrar=0x1001B5130; callback=0x1001AF774	registrar=0x1B4DE0; callback=0x1AEF30	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine serializeState binding
15	unserialize	METHOD	registrar=0x67CEA8; callback=0x675424	registrar=0x5612E8; callback=0x55CF3C	registrar=0x1001B5130; callback=0x1001B1130	registrar=0x1B4DE0; callback=0x1B0B80	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine unserializeState binding
16	pass	METHOD	registrar=0x67CEA8; callback=0x67F028	registrar=0x5612E8; callback=0x561E18	registrar=0x1001B5130; callback=0x1001B5ECC	registrar=0x1B4DE0; callback=0x1B5BAA	EVIDENCED_4_4	IMPLEMENTED	
17	setVariable	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F1D0	registrar=0x5612E8; callback=0x55A368	registrar=0x1001B5130; callback=0x1001AD684	registrar=0x1B4DE0; callback=0x1ACD18	EVIDENCED_4_4	IMPLEMENTED	
18	setCoord	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F440	registrar=0x5612E8; callback=0x55A450	registrar=0x1001B5130; callback=0x1001AD778	registrar=0x1B4DE0; callback=0x1ACE5C	EVIDENCED_4_4	IMPLEMENTED	
19	setScale	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F6FC	registrar=0x5612E8; callback=0x55A548	registrar=0x1001B5130; callback=0x1001AD894	registrar=0x1B4DE0; callback=0x1ACF52	EVIDENCED_4_4	IMPLEMENTED	
20	setRotate	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66F948	registrar=0x5612E8; callback=0x55A628	registrar=0x1001B5130; callback=0x1001AD970	registrar=0x1B4DE0; callback=0x1AD010	EVIDENCED_4_4	IMPLEMENTED	
21	setColor	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66FB5C	registrar=0x5612E8; callback=0x55A6E8	registrar=0x1001B5130; callback=0x1001ADA3C	registrar=0x1B4DE0; callback=0x1AD0CC	EVIDENCED_4_4	IMPLEMENTED	
22	setOuterForce	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x66FE58	registrar=0x5612E8; callback=0x55A828	registrar=0x1001B5130; callback=0x1001ADB98	registrar=0x1B4DE0; callback=0x1AD218	EVIDENCED_4_4	IMPLEMENTED	
23	completionType	RW_PROPERTY	registrar=0x67CEA8; get=0x67F02C; set=0x67F038	registrar=0x5612E8; get=0x561E50; set=0x561E5A	registrar=0x1001B5130; get=0x1001B5F24; set=0x1001B5F30	registrar=0x1B4DE0; get=0x1B5BD6; set=0x1B5BE0	EVIDENCED_4_4	IMPLEMENTED	
24	chara	RW_PROPERTY	registrar=0x67CEA8; get=0x67F044; set=0x67C750	registrar=0x5612E8; get=0x561E64; set=0x561044	registrar=0x1001B5130; get=0x1001B5F3C; set=0x1001B4FD8	registrar=0x1B4DE0; get=0x1B5BEA; set=0x1B4BFC	EVIDENCED_4_4	IMPLEMENTED	
25	motion	RW_PROPERTY	registrar=0x67CEA8; get=0x67F068; set=0x67F08C	registrar=0x5612E8; get=0x561E88; set=0x561EAC	registrar=0x1001B5130; get=0x1001B5F60; set=0x1001B5F84	registrar=0x1B4DE0; get=0x1B5C0E; set=0x1B5C34	EVIDENCED_4_4	IMPLEMENTED	
26	motionKey	RW_PROPERTY	registrar=0x67CEA8; get=0x67F128; set=entry=0x67C6C0; containing_func=0x67C4AC	registrar=0x5612E8; get=0x561F18; set=0x560FD4	registrar=0x1001B5130; get=0x1001B5FEC; set=0x1001B4F68	registrar=0x1B4DE0; get=0x1B5CF4; set=0x1B4B38	EVIDENCED_4_4	IMPLEMENTED	
27	project	RW_PROPERTY	registrar=0x67CEA8; get=0x67F128; set=entry=0x67C6C0; containing_func=0x67C4AC	registrar=0x5612E8; get=0x561F18; set=0x560FD4	registrar=0x1001B5130; get=0x1001B5FEC; set=0x1001B4F68	registrar=0x1B4DE0; get=0x1B5CF4; set=0x1B4B38	EVIDENCED_4_4	IMPLEMENTED	exact callback alias with motionKey
28	maskMode	RW_PROPERTY	registrar=0x67CEA8; get=0x67F1A4; set=0x67F1B0	registrar=0x5612E8; get=0x561F74; set=0x561F7E	registrar=0x1001B5130; get=0x1001B6048; set=0x1001B6054	registrar=0x1B4DE0; get=0x1B5DA4; set=0x1B5DAE	EVIDENCED_4_4	IMPLEMENTED	
29	meshDivisionRatio	RW_PROPERTY	registrar=0x67CEA8; get=0x67F1BC; set=0x67F1C8	registrar=0x5612E8; get=0x561F88; set=0x561F96	registrar=0x1001B5130; get=0x1001B6060; set=0x1001B606C	registrar=0x1B4DE0; get=0x1B5DB8; set=0x1B5DC6	EVIDENCED_4_4	IMPLEMENTED	
30	outline	RW_PROPERTY	registrar=0x67CEA8; get=0x67F1D4; set=0x67F1E4	registrar=0x5612E8; get=0x561FA4; set=0x561FB8	registrar=0x1001B5130; get=0x1001B6078; set=0x1001B6088	registrar=0x1B4DE0; get=0x1B5DD4; set=0x1B5DE8	EVIDENCED_4_4	IMPLEMENTED	
31	priorDraw	RW_PROPERTY	registrar=0x67CEA8; get=0x67F258; set=0x67F264	registrar=0x5612E8; get=0x562010; set=0x56201A	registrar=0x1001B5130; get=0x1001B60DC; set=0x1001B60E8	registrar=0x1B4DE0; get=0x1B5E94; set=0x1B5E9E	EVIDENCED_4_4	IMPLEMENTED	
32	frameLastTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F274	registrar=0x5612E8; get=0x562024	registrar=0x1001B5130; get=0x1001B60F4	registrar=0x1B4DE0; get=0x1B5EA8	EVIDENCED_4_4	IMPLEMENTED	
33	frameLoopTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F280	registrar=0x5612E8; get=0x562032	registrar=0x1001B5130; get=0x1001B6100	registrar=0x1B4DE0; get=0x1B5EB6	EVIDENCED_4_4	IMPLEMENTED	
34	lastTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F274	registrar=0x5612E8; get=0x562024	registrar=0x1001B5130; get=0x1001B60F4	registrar=0x1B4DE0; get=0x1B5EA8	EVIDENCED_4_4	IMPLEMENTED	exact alias with frameLastTime
35	loopTime	RO_PROPERTY	registrar=0x67CEA8; get=0x67F280	registrar=0x5612E8; get=0x562032	registrar=0x1001B5130; get=0x1001B6100	registrar=0x1B4DE0; get=0x1B5EB6	EVIDENCED_4_4	IMPLEMENTED	exact alias with frameLoopTime
36	bounds	RO_PROPERTY	registrar=0x67CEA8; get=0x67F28C	registrar=0x5612E8; get=0x562040	registrar=0x1001B5130; get=0x1001B610C	registrar=0x1B4DE0; get=0x1B5EC4	EVIDENCED_4_4	IMPLEMENTED	
37	processedMeshVerticesNum	RO_PROPERTY	registrar=0x67CEA8; get=0x67F294	registrar=0x5612E8; get=0x56204E	registrar=0x1001B5130; get=0x1001B6114	registrar=0x1B4DE0; get=0x1B5ED2	EVIDENCED_4_4	IMPLEMENTED	
38	setDrawAffineTranslateMatrix	METHOD	registrar=0x67CEA8; callback=0x67F2C8	registrar=0x5612E8; callback=0x562068	registrar=0x1001B5130; callback=0x1001B6148	registrar=0x1B4DE0; callback=0x1B5EEC	EVIDENCED_4_4	IMPLEMENTED	
39	getCameraOffset	METHOD	registrar=0x67CEA8; callback=0x67F2D0	registrar=0x5612E8; callback=0x562070	registrar=0x1001B5130; callback=0x1001B6150	registrar=0x1B4DE0; callback=0x1B5F26	EVIDENCED_4_4	IMPLEMENTED	
40	setCameraOffset	METHOD	registrar=0x67CEA8; callback=0x67F2D8	registrar=0x5612E8; callback=0x56207E	registrar=0x1001B5130; callback=0x1001B6158	registrar=0x1B4DE0; callback=0x1B5F34	EVIDENCED_4_4	IMPLEMENTED	
41	modifyRoot	METHOD	registrar=0x67CEA8; callback=0x67F2EC	registrar=0x5612E8; callback=0x56209C	registrar=0x1001B5130; callback=0x1001B616C	registrar=0x1B4DE0; callback=0x1B5F56	EVIDENCED_4_4	IMPLEMENTED	
42	setHairScale	METHOD	registrar=0x67CEA8; callback=0x67F300	registrar=0x5612E8; callback=0x5620AC	registrar=0x1001B5130; callback=0x1001B619C	registrar=0x1B4DE0; callback=0x1B5F84	EVIDENCED_4_4	IMPLEMENTED	
43	setPartsScale	METHOD	registrar=0x67CEA8; callback=0x67F308	registrar=0x5612E8; callback=0x5620B6	registrar=0x1001B5130; callback=0x1001B61A4	registrar=0x1B4DE0; callback=0x1B5F8E	EVIDENCED_4_4	IMPLEMENTED	
44	setBustScale	METHOD	registrar=0x67CEA8; callback=0x67F310	registrar=0x5612E8; callback=0x5620C0	registrar=0x1001B5130; callback=0x1001B61AC	registrar=0x1B4DE0; callback=0x1B5F98	EVIDENCED_4_4	IMPLEMENTED	
45	hairScale	RW_PROPERTY	registrar=0x67CEA8; get=0x67F318; set=0x67F300	registrar=0x5612E8; get=0x5620CA; set=0x5620AC	registrar=0x1001B5130; get=0x1001B61B4; set=0x1001B619C	registrar=0x1B4DE0; get=0x1B5FA2; set=0x1B5F84	EVIDENCED_4_4	IMPLEMENTED	setter exact alias with setHairScale
46	bustScale	RW_PROPERTY	registrar=0x67CEA8; get=0x67F320; set=0x67F310	registrar=0x5612E8; get=0x5620D4; set=0x5620C0	registrar=0x1001B5130; get=0x1001B61BC; set=0x1001B61AC	registrar=0x1B4DE0; get=0x1B5FAC; set=0x1B5F98	EVIDENCED_4_4	IMPLEMENTED	setter exact alias with setBustScale
47	partsScale	RW_PROPERTY	registrar=0x67CEA8; get=0x67F328; set=0x67F308	registrar=0x5612E8; get=0x5620DE; set=0x5620B6	registrar=0x1001B5130; get=0x1001B61C4; set=0x1001B61A4	registrar=0x1B4DE0; get=0x1B5FB6; set=0x1B5F8E	EVIDENCED_4_4	IMPLEMENTED	setter exact alias with setPartsScale
48	debugPrint	RW_PROPERTY	registrar=0x67CEA8; get=0x67F330; set=0x67F338	registrar=0x5612E8; get=0x5620E8; set=0x5620EE	registrar=0x1001B5130; get=0x1001B61CC; set=0x1001B61D4	registrar=0x1B4DE0; get=0x1B5FC0; set=0x1B5FC6	EVIDENCED_4_4	IMPLEMENTED	
49	queuing	RW_PROPERTY	registrar=0x67CEA8; get=0x67F344; set=0x67F34C	registrar=0x5612E8; get=0x5620F6; set=0x5620FC	registrar=0x1001B5130; get=0x1001B61E0; set=0x1001B61E8	registrar=0x1B4DE0; get=0x1B5FCE; set=0x1B5FD4	EVIDENCED_4_4	IMPLEMENTED	
50	directEdit	RW_PROPERTY	registrar=0x67CEA8; get=0x67F358; set=0x67F360	registrar=0x5612E8; get=0x562104; set=0x56210A	registrar=0x1001B5130; get=0x1001B61F4; set=0x1001B61FC	registrar=0x1B4DE0; get=0x1B5FDC; set=0x1B5FE2	EVIDENCED_4_4	IMPLEMENTED	
51	selectorEnabled	RW_PROPERTY	registrar=0x67CEA8; get=0x67F36C; set=0x67F374	registrar=0x5612E8; get=0x562112; set=0x562118	registrar=0x1001B5130; get=0x1001B6208; set=0x1001B6210	registrar=0x1B4DE0; get=0x1B5FEA; set=0x1B5FF0	EVIDENCED_4_4	IMPLEMENTED	
52	variableKeys	RO_PROPERTY	registrar=0x67CEA8; get=0x67F380	registrar=0x5612E8; get=0x562122	registrar=0x1001B5130; get=0x1001B621C	registrar=0x1B4DE0; get=0x1B5FFA	EVIDENCED_4_4	IMPLEMENTED	
53	animating	RO_PROPERTY	registrar=0x67CEA8; get=0x671378	registrar=0x5612E8; get=0x55B18C	registrar=0x1001B5130; get=0x1001AE5D8	registrar=0x1B4DE0; get=0x1ADE54	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine getter; setter and indexed slots null
54	setMirror	METHOD	registrar=0x67CEA8; callback=0x66F190	registrar=0x5612E8; callback=0x55A336	registrar=0x1001B5130; callback=0x1001AD644	registrar=0x1B4DE0; callback=0x1ACCEA	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
55	skip	METHOD	registrar=0x67CEA8; callback=0x66BF6C	registrar=0x5612E8; callback=0x558888	registrar=0x1001B5130; callback=0x1001AB03C	registrar=0x1B4DE0; callback=0x1AA714	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine resetControllers binding
56	playTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x670224	registrar=0x5612E8; callback=0x55A9EC	registrar=0x1001B5130; callback=0x1001ADD74	registrar=0x1B4DE0; callback=0x1AD460	EVIDENCED_4_4	IMPLEMENTED	
57	stopTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x67F38C	registrar=0x5612E8; callback=0x562130	registrar=0x1001B5130; callback=0x1001B6228	registrar=0x1B4DE0; callback=0x1B6008	EVIDENCED_4_4	IMPLEMENTED	
58	getTimelinePlaying	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x67F47C	registrar=0x5612E8; callback=0x5621C8	registrar=0x1001B5130; callback=0x1001B62D8	registrar=0x1B4DE0; callback=0x1B6108	EVIDENCED_4_4	IMPLEMENTED	
59	setTimelineBlendRatio	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=entry=0x670674; containing_func=0x670350	registrar=0x5612E8; callback=0x55AB8C	registrar=0x1001B5130; callback=0x1001ADFB0	registrar=0x1B4DE0; callback=0x1AD72C	EVIDENCED_4_4	IMPLEMENTED	Android arm64 callback is an internal entry in a combined raw-callback function
60	fadeInTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x670ACC	registrar=0x5612E8; callback=0x55AD64	registrar=0x1001B5130; callback=0x1001AE200	registrar=0x1B4DE0; callback=0x1AD97C	EVIDENCED_4_4	IMPLEMENTED	
61	fadeOutTimeline	RAW_METHOD_CALLBACK	registrar=0x67CEA8; callback=0x670DD4	registrar=0x5612E8; callback=0x55AEA8	registrar=0x1001B5130; callback=0x1001AE364	registrar=0x1B4DE0; callback=0x1ADB24	EVIDENCED_4_4	IMPLEMENTED	
62	getTimelineBlendRatio	METHOD	registrar=0x67CEA8; callback=0x67F5A8	registrar=0x5612E8; callback=0x562270	registrar=0x1001B5130; callback=0x1001B6398	registrar=0x1B4DE0; callback=0x1B6218	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
63	getVariableRange	METHOD	registrar=0x67CEA8; callback=0x670FCC	registrar=0x5612E8; callback=0x55AF8C	registrar=0x1001B5130; callback=0x1001AE454	registrar=0x1B4DE0; callback=0x1ADC6C	EVIDENCED_4_4	IMPLEMENTED	
64	getVariableFrameList	METHOD	registrar=0x67CEA8; callback=0x67F67C	registrar=0x5612E8; callback=0x5622A0	registrar=0x1001B5130; callback=0x1001B63C8	registrar=0x1B4DE0; callback=0x1B623C	EVIDENCED_4_4	IMPLEMENTED	
65	getMainTimelineLabelList	METHOD	registrar=0x67CEA8; callback=0x672334	registrar=0x5612E8; callback=0x55B5C8	registrar=0x1001B5130; callback=0x1001AEF14	registrar=0x1B4DE0; callback=0x1AE6F4	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
66	getDiffTimelineLabelList	METHOD	registrar=0x67CEA8; callback=0x6724A0	registrar=0x5612E8; callback=0x55B63C	registrar=0x1001B5130; callback=0x1001AEFA0	registrar=0x1B4DE0; callback=0x1AE7C8	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
67	getLoopTimeline	METHOD	registrar=0x67CEA8; callback=0x67260C	registrar=0x5612E8; callback=0x55B6B0	registrar=0x1001B5130; callback=0x1001AF02C	registrar=0x1B4DE0; callback=0x1AE89C	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
68	getTimelineTotalFrameCount	METHOD	registrar=0x67CEA8; callback=0x6727D0	registrar=0x5612E8; callback=0x55B750	registrar=0x1001B5130; callback=0x1001AF0D4	registrar=0x1B4DE0; callback=0x1AE9A4	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
69	getPlayingTimelineInfoList	METHOD	registrar=0x67CEA8; callback=0x6728A4	registrar=0x5612E8; callback=0x55B788	registrar=0x1001B5130; callback=0x1001AF104	registrar=0x1B4DE0; callback=0x1AE9D0	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
70	isSelectorTarget	METHOD	registrar=0x67CEA8; callback=0x67F7DC	registrar=0x5612E8; callback=0x562378	registrar=0x1001B5130; callback=0x1001B64D0	registrar=0x1B4DE0; callback=0x1B6394	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
71	activateSelectorTarget	METHOD	registrar=0x67CEA8; callback=0x672BFC	registrar=0x5612E8; callback=0x55B908	registrar=0x1001B5130; callback=0x1001AF2F0	registrar=0x1B4DE0; callback=0x1AEBE4	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
72	deactivateSelectorTarget	METHOD	registrar=0x67CEA8; callback=0x672FD4	registrar=0x5612E8; callback=0x55BAD4	registrar=0x1001B5130; callback=0x1001AF628	registrar=0x1B4DE0; callback=0x1AEE48	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine binding
73	getCommandList	METHOD	registrar=0x67CEA8; callback=0x67F900	registrar=0x5612E8; callback=0x5623DE	registrar=0x1001B5130; callback=0x1001B65D4	registrar=0x1B4DE0; callback=0x1B644C	EVIDENCED_4_4	IMPLEMENTED	
